position_id,iso,type,node_or_zone,volume_mw,price,extra
LOAD_ZONE_MISO_NORTH,MISO,load,MISO_NORTH,500,,residential_mixed
LOAD_ZONE_PJM_WEST,PJM,load,PJM_WEST,300,,industrial_mixed

GEN_CC_MISO_01,MISO,generation,NODE_MISO_CC_01,350,,heat_rate=7200
GEN_WIND_MISO_01,MISO,generation,NODE_MISO_WIND_01,200,,intermittent

BILAT_MISO_2026Q1_01,MISO,bilateral,MISO_NORTH_HUB,-150,42.50,7x24
BILAT_PJM_2026Q1_01,PJM,bilateral,PJM_WEST_HUB,100,45.00,5x16

VIRT_MISO_INC_01,MISO,virtual,NODE_MISO_NORTH_HUB,50,,INC
VIRT_PJM_DEC_01,PJM,virtual,NODE_PJM_WEST_HUB,-40,,DEC

FTR_MISO_N2S_2026,MISO,ftr,NODE_MISO_NORTH_HUB->NODE_MISO_SOUTH_HUB,100,,annual
FTR_PJM_W2E_2026,PJM,ftr,NODE_PJM_WEST_HUB->NODE_PJM_EAST_HUB,75,,annual
